,content
87,"🎈NextRise 2023, Seoul F&B 참가기업 부스 소개🎈📢F&B 참가기업 5개사를 소개합니다!노티드, 다운타우너, 널담, XYZ, 어메이징 브루잉 컴퍼니 기업이 Next Stage 옆 F&B 휴게 공간에서 행사와 함께 진행하니 많은 관심과 이용 부탁드립니다!❤️#사업협력 #투자유치 #오픈이노베이션 #스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자 #유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
88,"🎈NextRise 2023, Seoul F&B 참가기업 부스 소개🎈📢F&B 참가기업 5개사를 소개합니다!노티드, 다운타우너, 널담, XYZ, 어메이징 브루잉 컴퍼니 기업이 Next Stage 옆 F&B 휴게 공간에서 행사와 함께 진행하니 많은 관심과 이용 부탁드립니다!❤️#사업협력 #투자유치 #오픈이노베이션 #스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자 #유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
89,"🎈NextRise 2023, Seoul F&B 참가기업 부스 소개🎈📢F&B 참가기업 5개사를 소개합니다!노티드, 다운타우너, 널담, XYZ, 어메이징 브루잉 컴퍼니 기업이 Next Stage 옆 F&B 휴게 공간에서 행사와 함께 진행하니 많은 관심과 이용 부탁드립니다!❤️#사업협력 #투자유치 #오픈이노베이션 #스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자 #유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
90,"🎈NextRise 2023, Seoul F&B 참가기업 부스 소개🎈📢F&B 참가기업 5개사를 소개합니다!노티드, 다운타우너, 널담, XYZ, 어메이징 브루잉 컴퍼니 기업이 Next Stage 옆 F&B 휴게 공간에서 행사와 함께 진행하니 많은 관심과 이용 부탁드립니다!❤️#사업협력 #투자유치 #오픈이노베이션 #스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자 #유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
91,"📢NextRise 2023, Seoul 프로그램 공개!NextRise 2023, Seoul에서 진행되는 다양한 프로그램을 소개합니다!9개 테마의 스타트업 부스 전시부터 다양한 분야의 글로벌 투자자들의 인사이트 강연, 사업협력과 투자유치를 통해 스케일업을 도모하는 1:1 밋업까지!더 많은 전시 기업과 컨퍼런스 연사들은 넥스트라이즈 공식 홈페이지에서 만나보실 수 있습니다!날짜 : 2023.6.1(목)~6.2(금)장소 : 서울 삼성동 코엑스공식홈페이지 : www.nextrise.co.kr#사업협력 #투자유치 #오픈이노베이션#스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자#유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
92,"🎈NextRise 2023, Seoul 부스배치도 및 독립부스 소개🎈독립부스 21개사를 소개합니다!글로벌 기업이 준비한 각양각색 콘텐츠를 기대해주세요!💚9개 테마의 470여개 스타트업의 부스 전시도 함께 진행하니 많은 관심 부탁드립니다!더 많은 전시 참가기업과 자세한 내용은 NextRise 2023, Seoul 공식 홈페이지 > Exhibiton > 참여기업에서 확인할 수 있습니다.부스배치도 및 전시 참여기업 바로 보기 : https://www.nextrise.co.kr/ko/exhibition/hall-layout#사업협력 #투자유치 #오픈이노베이션#스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자#유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
93,"🎈NextRise 2023, Seoul 연사 소개🎈넥스트라이즈에서만 만날 수 있는 특별한 연사들을 기대해주세요!다양한 분야의 글로벌 투자자들의 인사이트 강연이 NextRise 2023, Seoul에서 펼쳐집니다!🎉더 많은 컨퍼런스 세션과 연사에 대한 자세한 내용은 NextRise 2023, Seoul 공식 홈페이지 > Conference 에서 확인할 수 있습니다.컨퍼런스 스케줄 및 연사 바로 보기 : https://www.nextrise.co.kr/schedule#사업협력 #투자유치 #오픈이노베이션#스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자#유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
94,🏆산턴 최합자의 현실조언!인턴은 자소서가 젤루 중요!공기업 자소서는 이렇게 써보세요 :)..★2023년도 금융권 취업메이트 독금사★독금사 인스타그램 팔로우와 좋아요는 합격 지름길!..취준생 필수 공부꿀팁은@dokkmsa 프로필링크에서 확인!
95,"🎈NextRise 2023, Seoul 부스배치도 및 독립부스 소개🎈독립부스 21개사를 소개합니다!글로벌 기업이 준비한 각양각색 콘텐츠를 기대해주세요!💜9개 테마의 470여개 스타트업의 부스 전시도 함께 진행하니 많은 관심 부탁드립니다!더 많은 전시 참가기업과 자세한 내용은 NextRise 2023, Seoul 공식 홈페이지 > Exhibiton > 참여기업에서 확인할 수 있습니다.부스배치도 및 전시 참여기업 바로 보기 : https://www.nextrise.co.kr/ko/exhibition/hall-layout#사업협력 #투자유치 #오픈이노베이션#스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자#유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
96,"#리그램 - @nextrise_seoul by @get_multi_repost🚀NextRise 2023, Seoul 사전등록 이벤트🚀넥스트라이즈는 국내 최대의 벤처, 스타트업 페어로서 기업가, 투자자 산업계 리더, 생태계 관계자들이 함께 모여 네트워크를 형성하고, 인사이트를 공유하며, 파괴적 혁신을 선보이는 스타트업 축제입니다!국내외 다양한 스타트업 생태계 구성원이 한 자리에 모이는 글로벌 페어 <NextRise 2023, Seoul> 사전 등록하고 경품 받으세요!✔️참여방법1. 넥스트라이즈 SNS 팔로우하기2. 넥스트라이즈 홈페이지 회원가입/사전등록 PR3. 이벤트 게시글에 가입 이메일 주소 댓글 남기기※홈페이지에 회원가입 한 이메일을 댓글로 남겨주세요!※✔️이벤트 기간 : 2023.05.10~2023.05.24✔️당첨자 발표 : 2023.05.31✔️경품: 1등 - 네이버 포인트 만원 (20명)2등 - 커피 쿠폰 (30명)※ 당첨자는 랜덤으로 선정됩니다. ※ 당첨자는 SNS채널 통합으로 선정됩니다. ※ 이벤트 응모 후, 아이디 변경/삭제/비공개시 당첨자에서 제외 됩니다 ※ 중복 당첨 불가하며, 정보 회신 후 동일인 확인 시 경품은 1개만 지급됩니다.※ 개인정보 제공 동의 시에만 경품이 발송됩니다. 잘못 기재된 정보로 인해 당첨자 선정에서 제외되었을 경우 책임지지 않습니다.#사업협력 #투자유치 #오픈이노베이션#스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자#유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
97,🏦 부부문제는 제발 집에서.. 🥲..👩🏻‍💼👨🏻‍💼👩🏻‍💻👨🏻‍💻#서뱅크 #사람들이잘모르는은행이야기 #은행원-#왜안되는지진짜모르는그어리둥절한표정이잊혀지질않아#본인 #남편 #배우자 #어리둥절 #왜때문인지이해못하고감#부부는일심동체아니고이심이체 #이심이체-#농협 #신한은행 #우리은행 #국민은행 #대구은행 #기업은행#새마을금고 #우체국 #하나은행 #신협 #산업은행 #경남은행#전북은행 #수협 #부산은행 #제주은행 #광주은행
98,"안녕하세요🙋‍♀️중소벤처기업부 국민서포터즈 2기 민쓰입니다😆📰리그램으로 알아보는 「중소벤처기업부의 5월 소식」📰#리그램 - @mss.go.kr by @get_regrammer이태원의 새로운 도약을 응원하며활력을 불어넣기 위한 '이태원 회식 챌린지'🍴👉다음 주자로,최상대 기획재정부 제2차관님,강석훈 산업은행 회장님,주은기 삼성전자 상생협력센터장님,그리고 국방부를 추천합니다.👍🤝함께 해주세요~🤝#정부 #중소벤처기업부 #국민서포터즈 #서포터즈 #2기 #이영 #이태원 #회식 #챌린지 #헤이이태원 #잇_태원 #회식챌린지 #eat_taewon #기획재정부 #국방부 #산업은행 #삼성전자 #리그램 #대외활동 #대외활동계정"
99,"""현대차보다 높다""…'신의 직장' 공공기관 어디?지난해 직원 평균 연봉이 1억원을 웃도는 공공기관이 15곳에 달하는 것으로 조사됐습니다. 3년 전인 2019년(7곳)의 두 배 이상으로 늘었습니다. 22일 공공기관 경영정보시스템인 알리오에 따르면 지난해 362개 공공기관의 직원 평균 연봉은 7038만2000원으로 집계됐습니다. 2021년 12월 말 기준 대기업 직원의 평균 연봉(6756만원)보다 많고, 중소기업(3192만원)의 두 배 이상입니다. 연봉 수준이 가장 높은 곳은 한국전자통신연구원(1억1709만8000원)입니다. 국내 10대 기업(시가총액 기준)과 비교해도 6위 수준으로 높습니다. 이어 한국투자공사(1억1572만5000원), 산업은행(1억1289만원), 기업은행(1억884만9000원), 한국기계연구원(1억737만1000원), 수출입은행(1억615만7000원) 순입니다. 평균 연봉 1억원 이상인 15개 공공기관 중 9곳의 직원들은 올해 1분기 국내 상장사 중 최대 영업이익(3조5927억원)을 거둔 현대자동차 직원들(1억500만원)보다 더 많은 보수를 받았습니다. 인사혁신처 등에 따르면 지난해 공공기관 상임 기관장 340명의 평균 연봉은 약 1억8500만원입니다. 이 중 300명(88.2%)은 공공기관을 관리·감독하는 장관 및 장관급 공무원(1억3718만9000원)보다 많은 보수를 챙겼습니다. 134명은 국무총리(1억8656만2000원)보다, 29명은 대통령(2억4064만8000원)보다 많은 연봉을 수령했습니다. 지난해 상임 기관장에게 가장 많은 연봉을 지급한 공공기관은 기업은행(4억3103만원)입니다. 한국투자공사(4억2476만3000원), 국립암센터(3억8236만1000원), 산업은행(3억778만2000원)이 뒤를 이었습니다.#연봉 #대기업 #공공기관 #공공기관장 #현대차 #신의직장 #한국전자통신연구원 #한국투자공사 #산업은행 #기업은행 #한국기계연구원 #수출입은행"
100,"3년 뒤 이맘때 입주 할때가 기대되네요~^^문현동에 거의 20년만에 신축으로 건설 되는 1군 브랜드의 좋은 아파트 롯데캐슬 인피니엘~성인 걸음으로 걸어서 2분 컷, 문현 지게골역 초근접의 초역세권, 부산 어디든 빠르게 갈 수있는 사통팔달의 교통망 여성 분들이 가장 살고 싶어 하는 아파트에 뽑힌 명성과 세계 아파트 조경 대회에서 입상한, 아파트를 더욱 돋보이게 하고 쉼과 힐링을 만끽하기에 충분하게하는 아름다운 아파트조경 여러곳의 종합병원, 백화점과 대형 쇼핑몰들거기에 재래시장 접근성도 좋은 쇼핑과 생활의 인프라부산 문현 금융단지 조성과 이에 따른  산업은행 본점 부산 문현 금융 단지로의 이전 정부 고시 확정, 북항 재개발, 55 보급창 공원화 사업, 아파트 바로 옆 문현동 복합청사 건립 계획등의 개발호재에 따른 미래가치 2030 부산EXPO까지 유치된다면 더욱 금상첨화 ㅎ분양관까지 다녀왔는데 3년뒤 입주할 아파트단지 모형을 보니 역시 1군브랜드 롯데캐슬답게 멋지고이쁘게 지어지겠더군요59A타입에 입주하게 되는데, 가서보곤 84타입을 하지못한게 아쉽~3년뒤 문현동의 랜드마크가될 롯데캐슬 인피니엘~기대 기대~~^^좋은밤되세요~^^#롯데캐슬 #롯데캐슬인피니엘 #초역세권#문현동 #지게골역 #북항재개발 #부산엑스포 #부산문현금융단지 #부산에유치해#산업은행 #사통팔달 #미래가치 #landmark #랜드마크#카페뮤제오 #coffee #coffee #cafe #일상 #daily #카페스타그램 #소통 #커피스타그램 #좋아요 #coffeelife #coffeedaily #coffeelover #라포엠 #라뷰 #lifestyle #lapoem"
101,"🎈NextRise 2023, Seoul 파트너 행사🎈워크샵, 데모데이, 전문가 강연, VC 심사역 교육 프로그램 등20여개 기업에서 주최하는 다양한 행사를 만나보세요!NextRise 2023, Seoul 파트너 행사 주최 기업을 소개합니다.📌 비즈니스캔버스👉🏻 행사명 : 스타트업 생존과 성장을 위한 시크릿노트- (프로그램 1) 투자를 이끌어내는 스타트업의 성공 노트, 파이낸셜 모델링- (프로그램 2) B2B 매출 성장의 핵심, 전환율을 극대화하는 세일즈 파이프라인👉🏻 일시 : 6월 1일(목) 오후 12시 30분~오후 2시 30분 / 오후 2시 30분~오후 4시 30분👉🏻 장소 : 코엑스 2층 아셈볼룸 203호👉🏻 행사 내용 : 자금 조달과 매출 성장에 고민이 있는 분이라면 주목해주세요.불황 속에서도 살아남는 스타트업의 성장 노하우와, 국내 유명 VC들과 세일즈 인사이트 리더들의 생생한 이야기를 들려드립니다.👉🏻 신청방법 : https://tally.so/r/3E5zK2💡더 많은 프로그램과 자세한 내용은 NextRise 2023, Seoul 공식 홈페이지 > Side Event > 파트너 행사에서 확인할 수 있습니다.파트너 행사 바로 보기 : https://www.nextrise.co.kr/ko/event/list?p=4&cf=0&type=Title#사업협력 #투자유치 #오픈이노베이션#스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자#유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
102,"🎈NextRise 2023, Seoul 파트너 행사🎈워크샵, 데모데이, 전문가 강연, VC 심사역 교육 프로그램 등20여개 기업에서 주최하는 다양한 행사를 만나보세요!NextRise 2023, Seoul 파트너 행사 주최 기업을 소개합니다.📌 Notion👉🏻 행사명 : Notion 활용 업무 생산성 향상 워크샵👉🏻 일시 : 6월 2일(금) 오후 14시~오후 17시👉🏻 장소 : 코엑스 2층 아셈볼룸 203호👉🏻 행사 내용 : 생성 AI 시대, 넥스트라이즈 2023에서는 업무 생산성 향상을 위해 업무 공유 및 생성 AI 등 다양한 기술을 갖춘 Notion을 활용하여 스타트업에게 성장의 모멘텀을 제공할 예정이오니 Notion 워크샵에 많은 관심과 참여 부탁드립니다.👉🏻 신청방법 : https://forms.gle/uU6w3PX5BtGikaMv7👉🏻 신청 기간 :5월 16일 ~ 5월 31일(정원 마감 시 조기 종료 예정)💡더 많은 프로그램과 자세한 내용은 NextRise 2023, Seoul 공식 홈페이지 > Side Event > 파트너 행사에서 확인할 수 있습니다.파트너 행사 바로 보기 : https://www.nextrise.co.kr/ko/event/list?p=4&cf=0&type=Title#사업협력 #투자유치 #오픈이노베이션#스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자#유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
103,"🎈NextRise 2023, Seoul 파트너 행사🎈워크샵, 데모데이, 전문가 강연, VC 심사역 교육 프로그램 등20여개 기업에서 주최하는 다양한 행사를 만나보세요!NextRise 2023, Seoul 파트너 행사 주최 기업을 소개합니다.📌 엔터플👉🏻 행사명 : 노코드 툴 싱크트리(SyncTree) 활용 워크샵👉🏻 일시 : 6월 1일(목) 오전 9시 30분~오전 11시👉🏻 장소 : 코엑스 2층 아셈볼룸 203호👉🏻 행사 내용 : SyncTree라는 노코드 방식으로 백엔드 서비스 통합 지원·개발 솔루션을 통해 비용과 인력, 시간을 절약하고다양한 서비스와 연계, 확장 할 수 있는 방안을 소개합니다.👉🏻 신청방법 : https://forms.gle/6z3mg5Ecbu5wXSAH7👉🏻 신청 기간 : 5월 16일 ~ 5월 31일(정원 마감 시 조기 종료 예정)💡더 많은 프로그램과 자세한 내용은 NextRise 2023, Seoul 공식 홈페이지 > Side Event > 파트너 행사에서 확인할 수 있습니다.파트너 행사 바로 보기 : https://www.nextrise.co.kr/ko/event/list?p=4&cf=0&type=Title#사업협력 #투자유치 #오픈이노베이션#스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자#유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
104,"🎈NextRise 2023, Seoul 파트너 행사🎈워크샵, 데모데이, 전문가 강연, VC 심사역 교육 프로그램 등20여개 기업에서 주최하는 다양한 행사를 만나보세요!NextRise 2023, Seoul 파트너 행사 주최 기업을 소개합니다.📌 국가과학기술연구회, 공동TLO마케팅사무국👉🏻 행사명 : 테크비즈 IR Day👉🏻 일시 : 6월 1일(목) 오후 3시~오후 4시 30분👉🏻 장소 : 코엑스 1층 그랜드볼룸 101호👉🏻 행사 내용 : 기술창업을 기반으로 하는 기업의 투자역량 강화와 투자기관의 투자유치 연계를 위해 사업아이템과 비전을 선보이는 네트워킹 행사 개최👉🏻 신청방법 : 현장 참석💡더 많은 프로그램과 자세한 내용은 NextRise 2023, Seoul 공식 홈페이지 > Side Event > 파트너 행사에서 확인할 수 있습니다.파트너 행사 바로 보기 : https://www.nextrise.co.kr/ko/event/list?p=4&cf=0&type=Title#사업협력 #투자유치 #오픈이노베이션#스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자#유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
105,"🎈NextRise 2023, Seoul 파트너 행사🎈워크샵, 데모데이, 전문가 강연, VC 심사역 교육 프로그램 등20여개 기업에서 주최하는 다양한 행사를 만나보세요!NextRise 2023, Seoul 파트너 행사 주최 기업을 소개합니다.📌 아산나눔재단👉🏻 행사명 : 탈북 창업가, 통일한국의 비즈니스를 주도하다👉🏻 일시 : 6월 1일(목) 오후 3시 30분~오후 5시👉🏻 장소 : 코엑스 2층 아셈볼룸 202호👉🏻 행사 내용 : 통일한국의 비즈니스를 주도할 탈북 창업가, 이들을 만날 수 있는 무대가아시아 최대 규모의 글로벌 스타트업 페어 NextRise에서 펼쳐집니다.👉🏻 신청방법 : 온라인 신청(https://event-us.kr/4U91enZG74i2/event/63396) 또는 현장 신청💡더 많은 프로그램과 자세한 내용은 NextRise 2023, Seoul 공식 홈페이지 > Side Event > 파트너 행사에서 확인할 수 있습니다.파트너 행사 바로 보기 : https://www.nextrise.co.kr/ko/event/list?p=4&cf=0&type=Title#사업협력 #투자유치 #오픈이노베이션#스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자#유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
106,"🎈NextRise 2023, Seoul 파트너 행사🎈워크샵, 데모데이, 전문가 강연, VC 심사역 교육 프로그램 등20여개 기업에서 주최하는 다양한 행사를 만나보세요!NextRise 2023, Seoul 파트너 행사 주최 기업을 소개합니다.📌 AWS👉🏻 행사명 : - (프로그램1) AWS와 스타트업의 여정, 그리고 CVC- (프로그램 2) Startup Meets CVC 스타트업과 전략적 투자자가 만나다👉🏻 일시 : 6월 2일(금) 오후 1시~오후 1시 20분 / 오후 1시 20분~오후 2시👉🏻 장소 : 코엑스 1층 그랜드볼룸 102호👉🏻 행사 내용 : 기후위기 대응에 대한 전세계의 움직임이 빨라짐에 따라 각계 전문가 그룹과 미래세대인 20대, 30대가 한자리에 모여 '기후지옥'을 벗어나기 위한 녹색 혁신(Greenovate)과 2030 기후솔루션에 대해 고민하고자 함👉🏻 참가자 : 청년 및 혁신가 등 100여명👉🏻 신청방법 : https://aws-startup-lofts.com/apj/event/6d911808-f29e-4a88-9341-4505711291e6 또는 QR코드💡더 많은 프로그램과 자세한 내용은 NextRise 2023, Seoul 공식 홈페이지 > Side Event > 파트너 행사에서 확인할 수 있습니다.파트너 행사 바로 보기 : https://www.nextrise.co.kr/ko/event/list?p=4&cf=0&type=Title#사업협력 #투자유치 #오픈이노베이션#스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자#유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
107,"🎈NextRise 2023, Seoul 파트너 행사🎈워크샵, 데모데이, 전문가 강연, VC 심사역 교육 프로그램 등20여개 기업에서 주최하는 다양한 행사를 만나보세요!NextRise 2023, Seoul 파트너 행사 주최 기업을 소개합니다.📌 국가과학기술연구회, 국가녹색기술연구소, 테크엠👉🏻 행사명 : 그리노베이트 리그 2030👉🏻 일시 : 6월 1일(목) 오후 1시 30분~오후 3시👉🏻 장소 : 코엑스 1층 그랜드볼룸 102호👉🏻 행사 내용 : 기후위기 대응에 대한 전세계의 움직임이 빨라짐에 따라 각계 전문가 그룹과 미래세대인 20대, 30대가 한자리에 모여 '기후지옥'을 벗어나기 위한 녹색 혁신(Greenovate)과 2030 기후솔루션에 대해 고민하고자 함👉🏻 참가자 : 청년 및 혁신가 등 100여명👉🏻 신청방법 : 현장참석💡더 많은 프로그램과 자세한 내용은 NextRise 2023, Seoul 공식 홈페이지 > Side Event > 파트너 행사에서 확인할 수 있습니다.파트너 행사 바로 보기 : https://www.nextrise.co.kr/ko/event/list?p=4&cf=0&type=Title#사업협력 #투자유치 #오픈이노베이션#스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자#유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
108,"🔵 신이 내린 자리 따로 있었네…공공기관장 29명은 대통령 연봉보다 더 받았다지난해 공공기관 상임기관장 340명 중 300명은 공공기관을 관리·감독하는 정부 부처 장관보다 연봉이 높은 것으로 나타났다. 이 중 29명은 대통령보다 보수를 더 받았다. 연봉이 가장 높은 곳은 IBK기업은행이었다. 상임감사도 97명 중 71명은 장관보다 연봉이 높고, 7명은 대통령보다 높았다. 공공기관 상임기관장들의 평균 연봉은 1억8천500만원 정도로 장관보다 높고 국무총리와 비슷하다. 상임기관장 연봉이 가장 높은 공공기관은 중소기업은행(4억3천103만원)이고, 한국투자공사(4억2천476만3천원)도 4억원이 넘었다.👉 해당 뉴스의 본문을 AI가 요약한 글입니다."
109,"#시너위 - 시작하는 너를 위해 :)후회만 가득한 과거와불안하기만 한 미래 때문에지금을 망치지 마세요.오늘을 눈이 부시게 살아가세요.당신은 그럴 자격이 있습니다.- 드라마 #눈이부시게여러분의 오늘이 눈부시게아름답고, 행복하기를 바랍니다 ✨#응원 #위로 #명언 #명대사 #눈이부시게 #KDB #산업은행"
110,010-9964-5693 효스카이#산업은행 #창원지점 #코킹작업 #스카이차작업
111,"📢NextRise 2023, Seoul 채용설명회 안내국내 최대 글로벌 스타트업 페어 NextRise2023, Seoul에서 스타트업 기업 채용설명회가 열립니다!✔️ 날짜 : 2023년 6월 1일(목) ~ 2일(금), 10:00 ~ 17:00✔️ 장소 : 서울, 삼성동 코엑스 2층, 컨퍼런스룸(북) 209A, 209B, 210✔️ 참가대상 : 스타트업에 취업하고자 하는 구직자(신입 또는 경력자)✔️ 발표기업 : 총 44개 스타트업 기업 참여※ 행사 당일 전시부스로도 만나보실 수 있습니다.✔️ 부대행사 : 제네시스랩 AI 무료 모의면접✔️ 채용설명회 관람 사전 신청👉 https://walla.my/survey/UWHqjrtLxvLKTu0eOnJS✔️ 채용설명회 발표기업 리스트 및 스케줄 확인 👉https://docs.google.com/spreadsheets/d/124F7LvFT_F3w1xjkbFe5vxdjeeL5UWzIOvpHKXULhLs/htmlview#사업협력 #투자유치 #오픈이노베이션 #스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자 #유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK #nextrise2023 #채용설명회 #스타트업취업"
112,"🚀NextRise 2023, Seoul 사전등록 이벤트🚀넥스트라이즈는 국내 최대의 벤처, 스타트업 페어로서 기업가, 투자자 산업계 리더, 생태계 관계자들이 함께 모여 네트워크를 형성하고, 인사이트를 공유하며, 파괴적 혁신을 선보이는 스타트업 축제입니다!국내외 다양한 스타트업 생태계 구성원이 한 자리에 모이는 글로벌 페어<NextRise 2023, Seoul> 사전 등록하고 경품 받으세요!✔️참여방법1. 넥스트라이즈 SNS 팔로우하기 (@nextrise_seoul )2. 넥스트라이즈 홈페이지 회원가입/사전등록 PR3. 이벤트 게시글에 가입 이메일 주소 댓글 남기기※홈페이지에 회원가입 한 이메일을 댓글로 남겨주세요!※✔️이벤트 기간 : 2023.05.10~2023.05.24✔️당첨자 발표 : 2023.05.31✔️경품:1등 - 네이버 포인트 만원 (20명)2등 - 커피 쿠폰 (30명)※ 당첨자는 랜덤으로 선정됩니다.※ 당첨자는 SNS채널 통합으로 선정됩니다.※ 이벤트 응모 후, 아이디 변경/삭제/비공개시 당첨자에서 제외 됩니다※ 중복 당첨 불가하며, 정보 회신 후 동일인 확인 시 경품은 1개만 지급됩니다.※ 개인정보 제공 동의 시에만 경품이 발송됩니다. 잘못 기재된 정보로 인해 당첨자 선정에서 제외되었을 경우 책임지지 않습니다.#사업협력 #투자유치 #오픈이노베이션 #스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자 #유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
113,"스타트업 축제의 장!#NextRise 2023, Seoul은 사전등록 진행중!지금 #넥스트라이즈 공식 홈페이지에서사전등록하고 다양한 혜택을 누려보세요!!☞ https://www.nextrise.co.kr/📌사전등록 방법👉🏻 넥스트라이즈 공식 홈페이지(www.nextrise.co.kr) 회원가입👉🏻 등록데스크 방문하여 사전등록 QR스캔👉🏻 출입증 발급👉🏻 출입증 QR 스캔 및 행사장 입장📌넥스트라이즈 행사는~!- 날짜 : 2023.6.1(목)~6.2(금)- 장소 : 서울 삼성동 코엑스#사업협력 #투자유치 #오픈이노베이션 #스타트업 #Startup #Nextrise2023Seoul #산업은행 #한국산업은행 #한국무역협회 #스타트업박람회 #startups #넥스트라이즈 #nextrise #스케일업 #scaleup #스타트업투자 #startupinvestment #사업투자#유니콘기업 #unicorns #스타트업지원 #KDB #KDBBANK"
114,"'공매도'에 대해 들어보신 것이 있으신가요? 🤷ㅤ예시를 통해 공매도의 원리를 알아보며,홍파스와 함께 투자 상식 쌓아보아요! ✨ㅤ#KDB산업은행 #산업은행 #KDB #공매도 #공매도원리 #공매도이슈 #공매도찬반 #홍파스 #홍보파트너스 #홍파스6기 #홍보파트너스6기 #서포터즈 #대학생서포터즈"
