,content
59,ㅤ[8월 15일 #제78주년_광복절]　내일은 우리나라의 빛을 되찾은지78주년이 되는 자랑스러운 광복(光復)절입니다.　조국을 위해 희생하신 독립운동가와순국선열들이 계셨기에오늘과 같은 대한민국이 존재할 수 있었습니다.　광복절을 기념하여우리민족의 얼과 염원을 담은태극기를 직접 그려보며 광복절의 의미를다시 한번 생각해보는 건 어떨까요?　#광복절_이벤트STEP1. 필수 해시태그와 함께직접 그린 태극기를 본인 SNS에 업로드📌필수 해시태그: #광복절 #태극기사랑 #신한과함께나라사랑　STEP2.  본 게시물에 ‘참여완료’ 인증하기!　✔이벤트 기간: 2023.08.14(월) ~ 2023.08.25(금)✔이벤트 경품- [교촌치킨] 허니콤보감자웨지세트 (100명)- [스타벅스] 카페 아메리카노 T (200명)✔이벤트 대상: 본 게시물 이벤트 참여 고객✔당첨자 발표: 2022.08.30(수) *개별DM발표　✨ ‘태극기 바르게 그리기’와 ‘올바른 태극기 달기‘의 방법이 궁금하다면!?행정안전부(@withyou3542)홈페이지 www.mois.go.kr과 신한프렌즈 인스타그램(@shinhanfriends_official)에서쏠이 알려주는 태극기 그리는 법 참고해 보세요!✨본 이벤트는 @shinhanfriends_official 과 함께 진행중입니다.✨신한프렌즈 양모펠트 피규어는 @hisofelt 작가님과 함께합니다.　#신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #광복 #광복절 #대한독립만세 #대한민국 #광복78주년
60,#Repost @shinhanbank_official ——ㅤ[8월 15일 #제78주년_광복절]　내일은 우리나라의 빛을 되찾은지78주년이 되는 자랑스러운 광복(光復)절입니다.　조국을 위해 희생하신 독립운동가와순국선열들이 계셨기에오늘과 같은 대한민국이 존재할 수 있었습니다.　광복절을 기념하여우리민족의 얼과 염원을 담은태극기를 직접 그려보며 광복절의 의미를다시 한번 생각해보는 건 어떨까요?　#광복절_이벤트STEP1. 필수 해시태그와 함께직접 그린 태극기를 본인 SNS에 업로드📌필수 해시태그: #광복절 #태극기사랑 #신한과함께나라사랑　STEP2.  본 게시물에 ‘참여완료’ 인증하기!　✔이벤트 기간: 2023.08.14(월) ~ 2023.08.25(금)✔이벤트 경품- [교촌치킨] 허니콤보감자웨지세트 (100명)- [스타벅스] 카페 아메리카노 T (200명)✔이벤트 대상: 본 게시물 이벤트 참여 고객✔당첨자 발표: 2022.08.30(수) *개별DM발표　✨ ‘태극기 바르게 그리기’와 ‘올바른 태극기 달기‘의 방법이 궁금하다면!?행정안전부(@withyou3542)홈페이지 www.mois.go.kr과 신한프렌즈 인스타그램(@shinhanfriends_official)에서쏠이 알려주는 태극기 그리는 법 참고해 보세요!✨본 이벤트는 @shinhanfriends_official 과 함께 진행중입니다.✨신한프렌즈 양모펠트 피규어는 @hisofelt 작가님과 함께합니다.　#신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #광복 #광복절 #대한독립만세 #대한민국 #광복78주년
61,"#Repost @shinhanbank_official ——ㅤ#신한프렌즈_티셔츠_커스터마이징_콘테스트 참여작 확인하고#나의_원픽_티셔츠의_하트를_클릭해줘!나, 신한프렌즈 티 너 좋아하냐?커스터마이징 콘테스트 참여작 중,내 마음을 뺏어간 티셔츠 게시물에 좋아요❣️ 누르면두근두근, 설레는 선물 쏜다!🎁#신한프렌즈_티셔츠_좋아요_이벤트💓Step 1. 인스타그램 [🔎 검색]탭에서 #너신한프렌즈T야 검색!-> 가장 마음에 드는 티셔츠 인증샷에 좋아요 남기기!Step 2. 좋아요 누른 게시물의 링크를 복사해본 게시물에 링크 남기고, @친구에게 알려주면 완료!✔좋아요 이벤트 기간: 2023.08.14(월) ~ 2023.08.20(일)✔이벤트 경품- 신세계 상품권 1만원권 (30명)- 네이버페이 포인트 5천원권 (50명)✔이벤트 대상: 본 게시물 이벤트 참여 고객✔당첨자 발표: 2023.08.24(목) *개별DM발표*경품 발송에 필요한 개인정보는 당첨자 발표 이후 당첨자에 한하여 수집합니다.🖐️잠깐!#티셔츠_인증샷_아직도_올리지_않았다면?사람들의 좋아요 받으면 콘테스트 당첨 확률 UP~[400만원 여행상품권의 주인공🏆]이 될 절호의 기회!더 자세한 참여 방법은 인스타그램(@shinhanbank_official)에상단 고정된 ★인증샷 이벤트 3개★ 게시물에서 확인하세요#신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #은행 #이벤트 #티셔츠 #커스터마이징 #커스텀 #휴가 #여행 #패션 #좋아요 #캐릭터스타그램 #경품 #event[유의사항]- 본 이벤트는 전체 공개 계정만 참여가 가능합니다.- 본 이벤트는 모든 신한프렌즈 티셔츠 커스터마이징 콘테스트 이벤트와 중복 참여가 가능합니다.- 본 이벤트 해시태그로 올린 인증샷은 콘테스트 응모작으로 신한프렌즈 티셔츠 커스터마이징 콘테스트 응모작으로 자동 응모되며, 응모된 작품은 신한은행 SNS 마케팅에 활용될 수 있습니다.- 본 콘테스트를 통해 제작된 모든 티셔츠 디자인에 대한 저작권은 신한은행으로 귀속됩니다.- 이벤트 경품의 컬러는 임의 발송되며, 사전 고지 없이 동일 금액대의 다른 경품으로 변경될 수 있습니다.- 이벤트 일정은 사전 예고 없이 신한은행 사정에 따라 연장되거나, 조기 마감될 수 있습니다.- 당첨되신 분들은 DM을 통해 안내드릴 예정이며, 부정 당첨 및 기간 내 ID 변경 시 당첨이 취소될 수 있습니다.- 티셔츠 제작 및 배송 관련 문의는 마플 고객센터(☎1566-9437, 평일 오전10시~오후6시)을 통해 부탁드립니다.- 원활한 콘테스트 참여를 위해 신한은행 공식 인스타그램(@shinhanbank_official) 프로필 링크 또는 하이라이트를 반드시 확인 부탁드립니다."
62,@shinhanbank_official ㅤ[8월 15일 #제78주년_광복절]　내일은 우리나라의 빛을 되찾은지78주년이 되는 자랑스러운 광복(光復)절입니다.　조국을 위해 희생하신 독립운동가와순국선열들이 계셨기에오늘과 같은 대한민국이 존재할 수 있었습니다.　광복절을 기념하여우리민족의 얼과 염원을 담은태극기를 직접 그려보며 광복절의 의미를다시 한번 생각해보는 건 어떨까요?　#광복절_이벤트STEP1. 필수 해시태그와 함께직접 그린 태극기를 본인 SNS에 업로드📌필수 해시태그: #광복절 #태극기사랑 #신한과함께나라사랑　STEP2.  본 게시물에 ‘참여완료’ 인증하기!　✔이벤트 기간: 2023.08.14(월) ~ 2023.08.25(금)✔이벤트 경품- [교촌치킨] 허니콤보감자웨지세트 (100명)- [스타벅스] 카페 아메리카노 T (200명)✔이벤트 대상: 본 게시물 이벤트 참여 고객✔당첨자 발표: 2022.08.30(수) *개별DM발표　✨ ‘태극기 바르게 그리기’와 ‘올바른 태극기 달기‘의 방법이 궁금하다면!?행정안전부(@withyou3542)홈페이지 www.mois.go.kr과 신한프렌즈 인스타그램(@shinhanfriends_official)에서쏠이 알려주는 태극기 그리는 법 참고해 보세요!✨본 이벤트는 @shinhanfriends_official 과 함께 진행중입니다.✨신한프렌즈 양모펠트 피규어는 @hisofelt 작가님과 함께합니다.　#신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #광복 #광복절 #대한독립만세 #대한민국 #광복78주년
63,"신한은행어린이랜선 금융탐험신한은행에서 하는 어린이 금융교육👦🏻돈이 어려운 어린이들을 위해 신청해보았다😌아빠가 은행을 다녀도 아무짝에도 쓸모도 없다🙄🙄화폐의 기능을 알아보고화폐를 관찰해보는 시간을 가졌다 💵이제야 돈의 개념을 조금 이해하고무엇을 하는지를 아는 것 같다 🙌🏻지식자람도 같이 보며 워크지도 클리어하고마트 전단지로 방구석마트를 누비며신나게 돈을 써보았다💸💸💸이제 물건살 때마다 얼만지,물건값도 같이 비교해보며 내게 남아있지않은 경제관념 좀 심어줘야겠다🙄😳🤣🤣#정하준_68개월 #정하린_49개월 #신한은행어린이랜선은행탐험 #신한은행 #랜선은행탐험#엄마표홈스쿨"
64,< 직관 2023 EP. 12 >< 2023 신한은행 SOL 쏠 KBO 리그 >삼성 라이온즈 vs KIA 타이거즈2023. 8. 20 (일요일) 오후 5 : 00-> 18일 ~ 20일 02 올드 유니폼 착용 🦁⚾️#야구 #야구스타그램 #baseball #직관 #직관스타그램 #🦁 #⚾️ #삼성라이온즈 #samsunglions #올드 #유니폼 #👕 #착용 #2002 #삼성라이온즈파크 #samsunglionspark #대구삼성라이온즈파크 #라팍 #lapark #kbo #kbo리그 #신한은행 #신한sol #2023 #20230820 #원정팀 #기아타이거즈 #kiatigers #광주기아타이거즈
65,< 직관 2023 EP. 11 >< 2023 신한은행 SOL 쏠 KBO 리그 >삼성 라이온즈 6 : 5 LG 트윈스 LIONS WIN 🦁⚾️맨날 지는 화요라이온즈??? 응 아니야 ㅋㅋㅋㅋㅋ#야구 #야구스타그램 #직관 #직관스타그램 #baseball #🦁 #⚾️ #삼성라이온즈 #samsunglions #kbo리그 #kbo #신한은행 #신한sol #2023 #삼성라이온즈파크 #대구삼성라이온즈파크 #라팍 #lapark #원정팀 #lg트윈스 #상대 #승리 #lionswin #20230815 #🇰🇷 #광복절
66,은행원 처럼 해보라니깐 저러고 ㅋㅋㅋ 옆에 큰언니 쳐다본당 ㅎㅎ웃교 ㅋㅋㅋㅋ통장만들었다고 신나라 하며 포즈척🤩 그거 진따 통장 아니고 키조 통장이거덩?! ㅋㅋㅋ 속았지롱~~~🤪은행에 울 삐약이 언니 있음고객님들 줄줄이 사탕일듯?! ㅋㅋ#키자니아잠실점오후권#신한은행#키조통장첫개설👍#신한은행모델인가봉가#통장개설하러가자
67,#광복절 #태극기사랑 #신한과함께나라사랑@shinhanbank_official
68,#신한은행#신한과건강하계
69,#신한은행#신한과건강하계
70,#신한은행#신한과건강하계
71,#리그램 - @shinhanbank_official by @get_regrammerㅤ[8월 15일 #제78주년_광복절]　내일은 우리나라의 빛을 되찾은지78주년이 되는 자랑스러운 광복(光復)절입니다.　조국을 위해 희생하신 독립운동가와순국선열들이 계셨기에오늘과 같은 대한민국이 존재할 수 있었습니다.　광복절을 기념하여우리민족의 얼과 염원을 담은태극기를 직접 그려보며 광복절의 의미를다시 한번 생각해보는 건 어떨까요?　#광복절_이벤트STEP1. 필수 해시태그와 함께직접 그린 태극기를 본인 SNS에 업로드📌필수 해시태그: #광복절 #태극기사랑 #신한과함께나라사랑　STEP2.  본 게시물에 ‘참여완료’ 인증하기!　✔이벤트 기간: 2023.08.14(월) ~ 2023.08.25(금)✔이벤트 경품- [교촌치킨] 허니콤보감자웨지세트 (100명)- [스타벅스] 카페 아메리카노 T (200명)✔이벤트 대상: 본 게시물 이벤트 참여 고객✔당첨자 발표: 2022.08.30(수) *개별DM발표　✨ ‘태극기 바르게 그리기’와 ‘올바른 태극기 달기‘의 방법이 궁금하다면!?행정안전부(@withyou3542)홈페이지 www.mois.go.kr과 신한프렌즈 인스타그램(@shinhanfriends_official)에서쏠이 알려주는 태극기 그리는 법 참고해 보세요!✨본 이벤트는 @shinhanfriends_official 과 함께 진행중입니다.✨신한프렌즈 양모펠트 피규어는 @hisofelt 작가님과 함께합니다.　#신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #광복 #광복절 #대한독립만세 #대한민국 #광복78주년
72,"👉🏻👉🏻👉🏻 Quý Anh Chị KH Hưng Yên nhanh tay Ib em Huyền mở thẻ và khoản vay đi ạ😍☎️ 0989331864 (Em Huyền)NGÂN HÀNG SHINHAN VIỆT NAM CHÍNH THỨC KHAI TRƯƠNG CHI NHÁNH HƯNG YÊNNgân hàng Shinhan Việt Nam chính thức đưa vào hoạt động Chi nhánh Hưng Yên tại Tầng 1, Tòa nhà văn phòng tại Thửa đất số 109-110 và 113-114, Tờ bản đồ số 33, Thị trấn Văn Giang, huyện Văn Giang, tỉnh Hưng Yên. Việc đưa vào hoạt động chi nhánh Hưng Yên đã nâng tổng số chi nhánh và phòng giao dịch hiện có của Ngân hàng Shinhan lên 50 đơn vị trên toàn quốc.Chi nhánh Hưng Yên tọa lạc tại thị trấn Văn Giang – nơi có vị trí trọng điểm đầu tư phát triển kinh tế xã hội của tỉnh Hưng Yên. Địa điểm nằm tại phía Bắc, tiếp giáp với thành phố Hà Nội và có các trục lộ chính kết nối Hưng Yên với Hà Nội và các tỉnh thuộc đồng bằng Sông Hồng. Đây là mạng lưới đầu tiên của Ngân hàng Shinhan tại tỉnh Hưng Yên, đánh dấu cơ hội kinh doanh mới cũng như cam kết gắn bó và phát triển kinh tế của địa phương.👉 Thông cáo báo chí, chi tiết: https://bit.ly/47yjKSj#NganhangShinhan----SHINHAN BANK VIETNAM OFFICIALLY OPENED HUNG YEN BRANCHShinhan Bank Vietnam Limited began operation the Hung Yen Branch at 1st floor, Office Building at Land Plot No. 109-110 and 113-114, Map Sheet No. 33, Van Giang town, Van Giang district, Hung Yen province. With the opening of the Hung Yen branch, Shinhan Bank now has 50 branches and transaction offices across the country.Hung Yen branch is located in Van Giang town, which has an important function for investment in Hung Yen province's socioeconomic growth. Located in the north, next to Hanoi, with key routes linking Hung Yen to Hanoi and the Red River Delta provinces. This is Shinhan Bank's first network in Hung Yen province, indicating new business opportunities as well as a commitment to the developing of the local economy.👉 For more information about the official press release, please visit: https://bit.ly/3OYGEv3#ShinhanBank #Shinhan #신한은행"
73,"녀어름~~ 🩵내가 만든 티샤스 입고, 미역감기 멱감기 💦#신한프렌즈 #신한프렌즈티셔츠 #너신한프렌즈T야 #신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #은행이벤트 #커스터마이징티셔츠"
74,#時間의 流...오랫동안 살아남는게...한낱..건물도 꿋꿋한데....그냥..물 흐르듯 사는게지........................................#서울#新韓銀行#(前)漢城銀行#光化門支店#한성은행#신한은행#광화문지점#近代建築#近代建物#國內最古銀行...........................................♧1912년 현 서울시 중구 삼각동에 건립♧1963년 화재로 전소된 한성은행 본점의 외형을 살려 재건♧국내최고은행 기네스기록 등재♧1943년 설립된 조흥은행 전신♧2006년 신한은행과의 통합(주)신한은행으로 다시 출발
75,"#긴속눈썹 giiiiiiiin공휴일인줄도 모르고..어쩐지 예약문의가 많더라니.. ㅎㅎ인스타 게으른 #긴속눈썹 ....매일 매일 열심히 일하고있습니다~♡간만에 퇴근샷🤭─────────────────────────────ㆍ1인샵으로 예약필수 (예약외 시간 당일예약가능)ㆍ예약문의☎️ 프로필 카카오톡 오픈채팅,전화예약(시술시 오픈채팅, 문자 답변 늦어질수있어요. 전화예약 우선입니다.)ㆍ영업시간⏱  AM11:00 ~ PM9:00(일요일휴무)ㆍ모근보호는 기본ㆍ아이패치 서비스ㆍ추가비용×ㆍ리터치×─────────────────────────────#양산속눈썹연장#양산긴속눈썹#긴속눈썹#양산속눈썹#양산#속눈썹영양제#구터미널#양산남부시장#북부동#신한은행#등기소사거리#태백약국#영보사#공영주차장#우리고객님들#언제나#감사합니다"
76,#신한은행 평택법원지점 지점장님 미리 생일 선물 감사합니다.잘쓸께요 ^^
77,"NGÂN HÀNG SHINHAN VIỆT NAM CHÍNH THỨC KHAI TRƯƠNG CHI NHÁNH HƯNG YÊNNgân hàng Shinhan Việt Nam chính thức đưa vào hoạt động Chi nhánh Hưng Yên tại Tầng 1, Tòa nhà văn phòng tại Thửa đất số 109-110 và 113-114, Tờ bản đồ số 33, Thị trấn Văn Giang, huyện Văn Giang, tỉnh Hưng Yên. Việc đưa vào hoạt động chi nhánh Hưng Yên đã nâng tổng số chi nhánh và phòng giao dịch hiện có của Ngân hàng Shinhan lên 50 đơn vị trên toàn quốc.Chi nhánh Hưng Yên tọa lạc tại thị trấn Văn Giang – nơi có vị trí trọng điểm đầu tư phát triển kinh tế xã hội của tỉnh Hưng Yên. Địa điểm nằm tại phía Bắc, tiếp giáp với thành phố Hà Nội và có các trục lộ chính kết nối Hưng Yên với Hà Nội và các tỉnh thuộc đồng bằng Sông Hồng. Đây là mạng lưới đầu tiên của Ngân hàng Shinhan tại tỉnh Hưng Yên, đánh dấu cơ hội kinh doanh mới cũng như cam kết gắn bó và phát triển kinh tế của địa phương.👉 Thông cáo báo chí, chi tiết: https://bit.ly/47yjKSj#NganhangShinhan----SHINHAN BANK VIETNAM OFFICIALLY OPENED HUNG YEN BRANCHShinhan Bank Vietnam Limited began operation the Hung Yen Branch at 1st floor, Office Building at Land Plot No. 109-110 and 113-114, Map Sheet No. 33, Van Giang town, Van Giang district, Hung Yen province. With the opening of the Hung Yen branch, Shinhan Bank now has 50 branches and transaction offices across the country.Hung Yen branch is located in Van Giang town, which has an important function for investment in Hung Yen province's socioeconomic growth. Located in the north, next to Hanoi, with key routes linking Hung Yen to Hanoi and the Red River Delta provinces. This is Shinhan Bank's first network in Hung Yen province, indicating new business opportunities as well as a commitment to the developing of the local economy.👉 For more information about the official press release, please visit: https://bit.ly/3OYGEv3#ShinhanBank #Shinhan #신한은행"
78,우리 아이와 함께 그려보았습니다🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷#광복절 #태극기사랑 #신한과함께나라사랑 Posted @withregram • @shinhanbank_official ㅤ[8월 15일 #제78주년_광복절]　내일은 우리나라의 빛을 되찾은지78주년이 되는 자랑스러운 광복(光復)절입니다.　조국을 위해 희생하신 독립운동가와순국선열들이 계셨기에오늘과 같은 대한민국이 존재할 수 있었습니다.　광복절을 기념하여우리민족의 얼과 염원을 담은태극기를 직접 그려보며 광복절의 의미를다시 한번 생각해보는 건 어떨까요?　#광복절_이벤트STEP1. 필수 해시태그와 함께직접 그린 태극기를 본인 SNS에 업로드📌필수 해시태그: #광복절 #태극기사랑 #신한과함께나라사랑　STEP2.  본 게시물에 ‘참여완료’ 인증하기!　✔이벤트 기간: 2023.08.14(월) ~ 2023.08.25(금)✔이벤트 경품- [교촌치킨] 허니콤보감자웨지세트 (100명)- [스타벅스] 카페 아메리카노 T (200명)✔이벤트 대상: 본 게시물 이벤트 참여 고객✔당첨자 발표: 2022.08.30(수) *개별DM발표　✨ ‘태극기 바르게 그리기’와 ‘올바른 태극기 달기‘의 방법이 궁금하다면!?행정안전부(@withyou3542)홈페이지 www.mois.go.kr과 신한프렌즈 인스타그램(@shinhanfriends_official)에서쏠이 알려주는 태극기 그리는 법 참고해 보세요!✨본 이벤트는 @shinhanfriends_official 과 함께 진행중입니다.✨신한프렌즈 양모펠트 피규어는 @hisofelt 작가님과 함께합니다.　#신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #광복 #광복절 #대한독립만세 #대한민국 #광복78주년
79,#2023여름휴가2일차☝ #어디로가니?#어디로가는지모르고다니는여행#어디로가는지몰라#키자니아#후니네여름휴가#신랑의써프라이즈❤️#신한은행 통장만들기#오늘도신나게놀아보쟈작년 여름의 부산 키자니아에 이어~올해 여름엔 서울 키자니아~^^낮엔 후니를 위한 타임이라고ㅋ정승후니 눈돌아간다~~~~ ㅎㅎㅎ신한은행 ㅋ 통장만들기.. 키조 입금도 하고 ㅋㅋ^^떨리는지 초긴장을...ㅋ
80,동아아울렛강북점👏8월 16일 단하루! #이멤버 이페이머니 결제시 상품권은 드립니다.🔥#대구북구 #칠곡 #동아강북점 #신한은행 #이페이머니 #E페이머니 #상품권증정#동아아울렛 #동아아울렛강북점 #동아강북점 #대구북구 #패션아울렛 #식품관 #모던하우스 #오프라이스 #이랜드리테일
81,"#신한은행 #랜선은행탐험아니, 무료교육인데 이리 컬리티가 좋을 수가😍😍6세가 따라 가기 어려울까봐 걱정했는데, 선생님께서 수업을 잘 이끌어주시고, 자료도 스티커라 부담없이 할 수 있어 좋았다^^ 동전과 지폐에 대해 알아보았고, 특히나 O,X 퀴즈를 제일 재미있어했다. 이제 쏠~~ 저금통에 돈을 모아보자!! ♡신한은행 어린이 랜선 은행탐험, 강추 강추!!!💕"
82,"우리나라의 미래를 위해 희생하신 영웅들을 항상 기억하고,  감사와 경의를 표합니다!!대한 독립 만세🇰🇷🇰🇷🇰🇷🇰🇷#신한은행 #광복절 #태극기사랑 #신한과함께나라사랑 @shinhanbank_official"
83,:-)지난주 보검이와 함께 해본 랜선 은행탐험제법 엉덩이 붙이고 설명도 집중해서 듣고 OX 퀴즈도 끝까지 참여해서 풀었네기특하다 우리집 6세야🧡도서관에서 마침 대출한 책이 경제관련 책이라 함께 이야기도 나누었다보검인 요즘 빠진 또봇이야기 뿐이었지만 본인 생각을 똑부러지게 이야기 함 😂또봇 이야기로 눈이 반짝반짝 🤩좋은 활동이 너무 많고낭#신한은행#어린이랜선은행탐험 #뒤늦은피드남기기#똑똑한소비를위한어린이경제 #살까말까살까말까얍#우리집아들둘의도전#경험이중요#새로운것들도재미나게#워크지야무지게사용하기@chaewoodaa
84,"CHUYỂN TIỀN ĐI NGAY, NHẬN QUÀ LIỀN TAY🎁 Đi “một” về “hai” nhanh chóng và dễ dàng với NH Shinhan Việt Nam ngay hôm nay! 🎁 Đặc biệt, khi Khách hàng đến giao dịch chuyển tiền quốc tế, nhận e-Voucher trị giá 50.000 VNĐ trong tầm tay. (*)Giao dịch ngay chờ chi bạn ơi!!!💁‍♀️ Chương trình áp dụng cho các Khách hàng Cá nhân thực hiện thành công lệnh mua ngoại tệ và chuyển tiền đi nước ngoài. (*) E-Voucher sẽ được gửi sau khi kết thúc chương trình.⏰ Thời gian chương trình: Từ 15/08/2023 đến 15/09/2023👉 Chi tiết chương trình, xem tại: https://bit.ly/3OUXavP#NganhangShinhan----REMIT OVERSEAS, RECEIVE REWARD🎁 Make “one” transaction, get “two” benefits at Shinhan Bank today!🎁 Especially, when you make easy and fast overseas transfer then receive e-Voucher value VND 50,000.Remit overseas right now! 💁‍♀️ This promotion is applied for individual customers have successful foreign exchange transations and outward overseas remittance. (*) e-Voucher will be sent after the end of campaign⏰ Promotion period: From 15th Aug 2023 to 15th Sep 2023👉 For more information, click: https://bit.ly/459c7QD#ShinhanBank #Shinhan #신한은행"
85,#신한은행 #광복절 #태극기사랑 #신한과함께나라사랑
86,거리가 한산 해요.막바지 휴가 가셨나보나요
87,#신한은행 #광복절 #태극기사랑 #신한과함께나라사랑
88,"🇰🇷 8.15 광복절, 뜻깊게 기억하는 방법 4오늘은 8.15 광복절!광복절을 뜻깊게 보낼 수 있는 활동 4가지를 공유해요.어렵지 않게 참여할 수 있고, 미션이나 활동을 하면서 광복절의 의미를 되새길 수도 있을 거예요. 빛을 되찾은 날, 오늘 하루 소중하게 보내시길 바라요! #링키레터 #스쿨잼 #활동정보 #활동 #광복절 #815 #815광복절 #광복절캠페인 #네이버 #네이버해피빈 #kb국민은행 #기부 #독립유공자 #신한은행 #태극기바르게그리기 #SNS이벤트 #태극기 #건곤감리 #태극기사랑 #LGU+ #엘지유플러스전시 #일상비일상의틈 #문화로독립을외치다 #당연하지않은일상 #디지털전시 #광복절교육 #교육프로그램 #광복절이야기"
89,오랜만에 다시 시작하는 대외활동!신대홍 너무 기대됩니다!!
90,[제78주년 광복절]대한독립만세! 오늘은 제78주년 광복절입니다선열들의 희생정신을 잊지 않으며 그날을 기억하겠습니다#광복절 #제78주년 #대한민국 #대한독립만세 #순국선열 #V2 #ktwiz #KT위즈 #위즈티비 #위즈 #2022시즌 #KBO #야구 #Baseball #프로야구 #신한은행 #SOL #KBO리그
91,#신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #광복 #광복절 #대한독립만세 #대한민국 #광복78주년
92,"유치원 여름방학을 맞아 들어본 유아경제교육 수업!줌으로 진행된 수업이었지만 아이의 몰입도는 최고였어요👍유아반 강의는 ""우리 아이 돈 개념 세우기""라는 주제로 진행되었어요!✅️ 돈의 소중함✅️ 돈 관찰하기✅️ 돈 사용하기돈을 언제 쓰는지 알아보고우리가 사용하는 동전과 지폐는 어떻게 생겼는지 어떤 그림이 그려져 있는지 살펴보았어요.미리 온 활동지까지 더해져 더 재미있는 수업이었어요. 선생님께 활동지 한 걸 더 잘 보여주고 싶어 카메라 각도까지 확인하더라고요ㅋㅋ수업 후에는 쏠과 함께하는 OX퀴즈까지 풀어보며 배운 내용 복습까지 완벽했답니다.아이에게 유익해서 다음에 기회가 된다면 또 듣고 싶은 수업이었습니다♡ 커리큘럼이 생긴다면 더욱 좋을 것 같아요ㅎㅎ#신한은행 #랜선은행탐험 #신한은행어린이랜선은행탐험 #유아경제교육 #초등경제교육"
93,@shinhanbank_official #광복절 #태극기사랑#신한과함께나라사랑#광복절이벤트 #신한은행#대한독립만세🇰🇷
94,"#신한은행 #신한과건강하계이열치열 여름보양식 #추어탕 피부미용에 좋은 단백질덩어리,,어른들도 좋아하시고 저도 거부감 없이 너무 좋아하는 음식 추어탕입니다. 단백질로 건강한 여름을 나고 싶어요. 이열치열 이라 하던가요? 뭐니뭐니 해도 여름철에는 뜨거운 보양식입니다.돌아가신 할머니가 여름이면 가족들의 약한몸을 보충해준다면서 추어탕을 해 주셨어요...^^~수산시장에 가서 좀 싸게 구입해서 가족들이 한 여름에 해주면 너무 좋아한답니다. 개도 안걸린다는 감기를 달고사는 우리가족들, 단백질 식품이라고 산초가루 넣고 해먹으면 그 날은 잔칫날입니다. ^^정성들여 맛있는 추어탕을 만들어 주셨는데 위가 안 좋은 저에게 속을 편안하게 해주는 음식이었어요,,원기회복에는 뭐니뭐니해도 최고였어요. 기름이 적어 우리가족들이 아주 좋아한답니다. 추어탕으로 여름을 잘보내고 건강하게 잘 보낸것 같아요~~"
95,제 꿈에 한발짝 다가간 것 같아서 영광스럽습니다.. 이 영화를 찍기 위해 들인 깊은 고뇌가 여러분들게 닿은 것 같아서 감사드립니다♡#29초영화제 #신한 #신한은행 #제9회신한29초영화제 #신한29초영화제 #29초영상제 #29초영화제출품작 #29초영화제수상작 #지갑을떨어뜨렸을뿐인데
96,Posted @withregram • @shinhanbank_official ㅤ[8월 15일 #제78주년_광복절]　내일은 우리나라의 빛을 되찾은지78주년이 되는 자랑스러운 광복(光復)절입니다.　조국을 위해 희생하신 독립운동가와순국선열들이 계셨기에오늘과 같은 대한민국이 존재할 수 있었습니다.　광복절을 기념하여우리민족의 얼과 염원을 담은태극기를 직접 그려보며 광복절의 의미를다시 한번 생각해보는 건 어떨까요?　#광복절_이벤트STEP1. 필수 해시태그와 함께직접 그린 태극기를 본인 SNS에 업로드📌필수 해시태그: #광복절 #태극기사랑 #신한과함께나라사랑　STEP2.  본 게시물에 ‘참여완료’ 인증하기!　✔이벤트 기간: 2023.08.14(월) ~ 2023.08.25(금)✔이벤트 경품- [교촌치킨] 허니콤보감자웨지세트 (100명)- [스타벅스] 카페 아메리카노 T (200명)✔이벤트 대상: 본 게시물 이벤트 참여 고객✔당첨자 발표: 2022.08.30(수) *개별DM발표　✨ ‘태극기 바르게 그리기’와 ‘올바른 태극기 달기‘의 방법이 궁금하다면!?행정안전부(@withyou3542)홈페이지 www.mois.go.kr과 신한프렌즈 인스타그램(@shinhanfriends_official)에서쏠이 알려주는 태극기 그리는 법 참고해 보세요!✨본 이벤트는 @shinhanfriends_official 과 함께 진행중입니다.✨신한프렌즈 양모펠트 피규어는 @hisofelt 작가님과 함께합니다.　#신한은행 #신한 #신한쏠 #신한SOL #따뜻한금융 #고객중심 #광복 #광복절 #대한독립만세 #대한민국 #광복78주년
97,백숙먹고 힘내자!!#신한은행#신한과건강하계
98,몸보신 #능이백숙#좋반#인친환영 #f4f#follow4like #소통해요 #맞팔 #일상 #daily #신한은행#신한과건강하계
